22º00'42"S
47º53'22"W
873.5m


Distance (m),Elevation (m)
0,848.2348022460938
130.17064869459688,851.3775634765625
260.34129738919376,851.1057739257812
390.51194608379063,854.5862426757812
520.6825947783875,860.1005859375
650.8532434729843,860.7237548828125
781.0238921675813,858.024658203125
911.1945408621782,853.4113159179688
1041.365189556775,849.1591186523438
1171.5358382513718,843.7349853515625
1301.7064869459687,837.323486328125
1431.8771356405657,828.3566284179688
1562.0477843351625,818.6963500976562
1692.2184330297594,807.7450561523438
1822.3890817243564,812.8615112304688
1952.5597304189532,823.796630859375
2082.73037911355,831.7584228515625
2212.901027808147,838.6852416992188
2343.0716765027437,844.9450073242188
2473.2423251973405,849.759521484375
2603.4129738919373,851.9514770507812
2733.5836225865346,854.796630859375
2863.7542712811314,857.3660888671875
2993.9249199757282,856.6509399414062
3124.095568670325,853.4769287109375
3254.266217364922,850.0108642578125
3384.4368660595187,846.3318481445312
3514.6075147541155,851.0115356445312
3644.778163448713,859.3189697265625
3774.9488121433096,864.0765991210938
3905.1194608379064,865.641845703125
4035.2901095325033,866.9800415039062
4165.4607582271,869.1445922851562
4295.631406921697,869.4091186523438
4425.802055616294,867.4744873046875
4555.972704310891,867.8679809570312
4686.143353005487,867.15087890625
4816.314001700084,865.9952392578125
4946.484650394681,865.4054565429688
5076.655299089278,866.3488159179688
5206.825947783875,866.0215454101562
5336.996596478472,867.1176147460938
5467.167245173069,866.4147338867188
5597.337893867666,864
5727.508542562263,863.663818359375
5857.67919125686,864.5303955078125
5987.8498399514565,865.4334106445312
6118.020488646053,865.1334838867188
6248.19113734065,865.2758178710938
6378.361786035247,868.9380493164062
6508.532434729844,866.6823120117188
6638.703083424441,862.4237670898438
6768.873732119037,863.1542358398438
6899.044380813634,857.5228881835938
7029.215029508231,849.94873046875
7159.385678202828,843.9872436523438
7289.556326897426,841.4688110351562
7419.726975592022,844.0999755859375
7549.897624286619,846.5198364257812
7680.068272981216,849.6422119140625
7810.238921675813,850.7235717773438
7940.40957037041,847.8844604492188
8070.5802190650065,844.1226196289062
8200.750867759603,838.6690063476562
8330.9215164542,833.543212890625
8461.092165148797,829.535888671875
8591.262813843394,827.2299194335938
8721.43346253799,821.4446411132812
8851.604111232587,817.2291870117188
8981.774759927184,811.4197387695312
9111.945408621781,805.744873046875
9242.116057316378,801.388427734375
9372.286706010975,795.7703247070312
9502.457354705572,782.6103515625
9632.628003400168,771.3543701171875
9762.798652094765,760.9244995117188
9892.969300789362,752.3840942382812
10023.139949483959,747.4281616210938
10153.310598178556,739.6734619140625
10283.481246873152,738.7859497070312
10413.65189556775,750.4273681640625
10543.822544262348,760.4969482421875
10673.993192956945,767.4117431640625
10804.163841651542,775.048583984375
10934.334490346138,786.4119873046875
11064.505139040735,796.1087036132812
11194.675787735332,804.9337158203125
11324.846436429929,808.0806884765625
11455.017085124526,808.623291015625
11585.187733819123,811.2615356445312
11715.35838251372,813.8606567382812
11845.529031208316,813.765625
11975.699679902913,812.5318603515625
12105.87032859751,812.6521606445312
12236.040977292107,808.9802856445312
12366.211625986703,799.6233520507812
12496.3822746813,795.160400390625
12626.552923375897,791.5452270507812
12756.723572070494,793.2277221679688
12886.89422076509,793.7244262695312
13017.064869459688,795.532958984375
13147.235518154284,795.9037475585938
13277.406166848881,793.745849609375
13407.576815543478,790.1954345703125
13537.747464238075,786.6085205078125
13667.918112932672,782.1588745117188
13798.088761627268,780.2188110351562
13928.259410321865,778.8263549804688
14058.430059016462,775.6727294921875
14188.600707711059,769.6517333984375
14318.771356405656,750.7980346679688
14448.942005100253,725.2451171875
14579.112653794851,720.890869140625
14709.283302489448,714.6267700195312
14839.453951184045,707.6874389648438
14969.624599878642,704.1917724609375
15099.795248573238,705.3103637695312
15229.965897267835,708.5272216796875
15360.136545962432,717.6800537109375
15490.307194657029,711.532958984375
15620.477843351626,704.2947998046875
15750.648492046223,704.53125
15880.81914074082,699.4227905273438
16010.989789435416,704.47314453125
16141.160438130013,711.9671020507812
16271.33108682461,706.2817993164062
16401.501735519207,695.175537109375
16531.6723842138,703.7842407226562
16661.8430329084,729.9241333007812
16792.013681603,752.239013671875
16922.184330297594,760.112060546875
17052.354978992193,762.0072021484375
17182.525627686788,756.052490234375
17312.696276381386,744.6146850585938
17442.86692507598,734.0125122070312
17573.03757377058,723.3787231445312
17703.208222465175,715.76904296875
17833.378871159774,710.0515747070312
17963.54951985437,703.5125122070312
18093.720168548967,695.951416015625
18223.890817243562,686.3276977539062
18354.06146593816,679.7698974609375
18484.232114632756,683.5360107421875
18614.402763327354,693.2467651367188
18744.57341202195,699.4909057617188
18874.744060716548,701.0922241210938
19004.914709411143,704.839111328125
19135.08535810574,704.0550537109375
19265.256006800337,698.9383544921875
19395.426655494935,693.7113037109375
19525.59730418953,689.0311889648438
19655.76795288413,683.9611206054688
19785.938601578724,678.96484375
19916.109250273323,676.8478393554688
20046.279898967918,670.61474609375
20176.450547662516,668.2825317382812
20306.62119635711,669.6921997070312
20436.79184505171,674.6492919921875
20566.962493746305,675.0889892578125
20697.133142440904,675.08544921875
20827.3037911355,673.4954223632812
20957.474439830097,671.6286010742188
21087.645088524696,672.3521118164062
21217.81573721929,670.8212280273438
21347.98638591389,670.12890625
21478.157034608485,667.9072265625
21608.327683303083,663.2830200195312
